category,tel_positive_count,teo_positive_count,tel_fraction,teo_fraction,one_sided_p_greater,holm_adjusted_p,note
Acetyl,14,16,0.6087,0.1569,2.527433084236903e-05,5.054866168473806e-05,Acetylation is the pre-specified dominant PTM class from the source paper.
Other mass shift,5,20,0.2174,0.1961,0.5078774012048971,0.5078774012048971,All non-acetyl bracketed mass shifts collapsed into a single exploratory bucket.
