removed_marker,remaining_alignment_fraction
Pro-neuropeptide Y,0.9764
Synenkephalin,0.9764
Peptide YY-A,0.9764
Neurogranin a,0.9754
Synucleins total,0.9911
Reticulon,0.9758
Myosin,0.9625
Actin,0.9725
Troponin,0.9792
