top_n_per_region,tel_rows,teo_rows,shared_exact_ids,exact_id_jaccard,shared_canonical_ids,canonicalized_jaccard,protein_jaccard,gene_symbol_jaccard,marker_alignment_fraction,note
50,50,50,5,0.0526,9,0.1154,0.1525,0.1552,1.0,Each region was restricted to its highest mean-duplicate-intensity rows before overlap and marker alignment were recomputed.
100,100,100,10,0.0526,18,0.1125,0.22,0.2283,1.0,Each region was restricted to its highest mean-duplicate-intensity rows before overlap and marker alignment were recomputed.
150,150,150,11,0.0385,21,0.0879,0.1926,0.2114,1.0,Each region was restricted to its highest mean-duplicate-intensity rows before overlap and marker alignment were recomputed.
