ordering,budget,recoverability
hilbert,64,0.3988
hilbert,128,0.4857
hilbert,256,0.595
hilbert,512,0.7176
hilbert,1024,0.817
morton,64,0.3518
morton,128,0.4477
morton,256,0.5858
morton,512,0.7044
morton,1024,0.8373
raster,64,0.0289
raster,128,0.0289
raster,256,0.3133
raster,512,1.0
raster,1024,1.0
random,64,0.0
random,128,0.0
random,256,0.0015
random,512,0.016
random,1024,0.13
